Timestamp,Android Medium Builds,Android Large Builds,iOS Medium Builds,iOS Large Builds
2026-04-01T00:00:00.000Z,0,0,0,0
2026-04-02T00:00:00.000Z,0,0,0,0
2026-04-03T00:00:00.000Z,0,0,0,0
2026-04-04T00:00:00.000Z,0,0,0,0

2026-04-05T00:00:00.000Z,0,0,0,0
2026-04-06T00:00:00.000Z,0,0,0,0
2026-04-07T00:00:00.000Z,0,0,0,0
2026-04-08T00:00:00.000Z,0,0,0,0
2026-04-09T00:00:00.000Z,0,0,0,0
2026-04-10T00:00:00.000Z,0,0,0,0
2026-04-11T00:00:00.000Z,0,0,0,0
2026-04-12T00:00:00.000Z,0,0,0,0
2026-04-13T00:00:00.000Z,0,0,0,0
2026-04-14T00:00:00.000Z,0,0,0,0
2026-04-15T00:00:00.000Z,0,0,0,0
2026-04-16T00:00:00.000Z,0,0,0,0
2026-04-17T00:00:00.000Z,0,0,0,0
2026-04-18T00:00:00.000Z,2,0,0,0
2026-04-19T00:00:00.000Z,1,0,0,0
2026-04-20T00:00:00.000Z,0,0,0,0
2026-04-21T00:00:00.000Z,0,0,0,0
2026-04-22T00:00:00.000Z,0,0,0,0
2026-04-23T00:00:00.000Z,0,0,0,0
2026-04-24T00:00:00.000Z,0,0,0,0
2026-04-25T00:00:00.000Z,0,0,0,0
2026-04-26T00:00:00.000Z,0,0,0,0
2026-04-27T00:00:00.000Z,0,0,0,0
2026-04-28T00:00:00.000Z,0,0,0,0
2026-04-29T00:00:00.000Z,0,0,0,0
2026-04-30T00:00:00.000Z,0,0,0,0
2026-05-01T00:00:00.000Z,0,0,0,0